Training begins...
Batch 10175 | Loss: 0.098428
Batch 10200 | Loss: 0.075807
Batch 10225 | Loss: 0.085027
Batch 10250 | Loss: 0.100210
Batch 10275 | Loss: 0.079191
Batch 10300 | Loss: 0.110653
Batch 10325 | Loss: 0.076318
Batch 10350 | Loss: 0.094966
Batch 10375 | Loss: 0.078331
Batch 10400 | Loss: 0.094382
Batch 10425 | Loss: 0.083858
Batch 10450 | Loss: 0.098704
Batch 10475 | Loss: 0.072782
Batch 10500 | Loss: 0.077000
Batch 10525 | Loss: 0.085914
Batch 10550 | Loss: 0.075211
Batch 10575 | Loss: 0.104111
Batch 10600 | Loss: 0.082757
Batch 10625 | Loss: 0.079124
Batch 10650 | Loss: 0.068323
Batch 10675 | Loss: 0.070591
Batch 10700 | Loss: 0.070292
Batch 10725 | Loss: 0.110867
Batch 10750 | Loss: 0.066790
Batch 10775 | Loss: 0.105639
Batch 10800 | Loss: 0.072771
Batch 10825 | Loss: 0.089876
Batch 10850 | Loss: 0.072048
Batch 10875 | Loss: 0.091763
Batch 10900 | Loss: 0.086111
Batch 10925 | Loss: 0.069891
Batch 10950 | Loss: 0.088101
Batch 10975 | Loss: 0.079942
Batch 11000 | Loss: 0.083344
Batch 11025 | Loss: 0.072575
Batch 11050 | Loss: 0.094507
Batch 11075 | Loss: 0.067981
Batch 11100 | Loss: 0.066817
Batch 11125 | Loss: 0.069562
Batch 11150 | Loss: 0.090343
Batch 11175 | Loss: 0.089081
Batch 11200 | Loss: 0.093280
Batch 11225 | Loss: 0.080943
Batch 11250 | Loss: 0.103856
Batch 11275 | Loss: 0.066245
Batch 11300 | Loss: 0.069875
Batch 11325 | Loss: 0.091791
Batch 11350 | Loss: 0.088658
Batch 11375 | Loss: 0.107913
Batch 11400 | Loss: 0.064844
Batch 11425 | Loss: 0.085589
Batch 11450 | Loss: 0.077624
Batch 11475 | Loss: 0.064832
Batch 11500 | Loss: 0.078536
Batch 11525 | Loss: 0.077938
Batch 11550 | Loss: 0.078841
Batch 11575 | Loss: 0.062160
Batch 11600 | Loss: 0.054016
Batch 11625 | Loss: 0.070880
Batch 11650 | Loss: 0.065320
Batch 11675 | Loss: 0.083363
Batch 11700 | Loss: 0.076892
Batch 11725 | Loss: 0.080440
Batch 11750 | Loss: 0.060140
Batch 11775 | Loss: 0.065762
Batch 11800 | Loss: 0.070345
Batch 11825 | Loss: 0.069773
Batch 11850 | Loss: 0.068869
Batch 11875 | Loss: 0.053935
Batch 11900 | Loss: 0.069405
Batch 11925 | Loss: 0.107355
Batch 11950 | Loss: 0.078041
Batch 11975 | Loss: 0.071824
Batch 12000 | Loss: 0.051338
Batch 12025 | Loss: 0.073194
Batch 12050 | Loss: 0.061067
Batch 12075 | Loss: 0.062927
Batch 12100 | Loss: 0.082927
Batch 12125 | Loss: 0.060845
Batch 12150 | Loss: 0.057347
Batch 12175 | Loss: 0.064358
Batch 12200 | Loss: 0.072807
Batch 12225 | Loss: 0.054588
Batch 12250 | Loss: 0.076308
Batch 12275 | Loss: 0.086531
Batch 12300 | Loss: 0.067392
Batch 12325 | Loss: 0.093685
Batch 12350 | Loss: 0.054700
Batch 12375 | Loss: 0.066955
Batch 12400 | Loss: 0.052734
Batch 12425 | Loss: 0.053160
Batch 12450 | Loss: 0.066453
Batch 12475 | Loss: 0.071813
Batch 12500 | Loss: 0.056078
Batch 12525 | Loss: 0.057346
Batch 12550 | Loss: 0.082597
Batch 12575 | Loss: 0.072893
Batch 12600 | Loss: 0.063871
Batch 12625 | Loss: 0.067332
Batch 12650 | Loss: 0.069401
Batch 12675 | Loss: 0.063055
Batch 12700 | Loss: 0.045070
Batch 12725 | Loss: 0.065573
Batch 12750 | Loss: 0.054640
Batch 12775 | Loss: 0.061751
Batch 12800 | Loss: 0.072481
Batch 12825 | Loss: 0.058248
Batch 12850 | Loss: 0.043039
Batch 12875 | Loss: 0.057014
Batch 12900 | Loss: 0.055721
Batch 12925 | Loss: 0.056769
Batch 12950 | Loss: 0.081983
Batch 12975 | Loss: 0.042015
Epoch 01 | Avg Loss: 0.229287 | Time: 2186.32s
Batch 0 | Loss: 0.069458
Batch 25 | Loss: 0.067015
Batch 50 | Loss: 0.059009
Batch 75 | Loss: 0.052165
Batch 100 | Loss: 0.050150
Batch 125 | Loss: 0.064344
Batch 150 | Loss: 0.051384
Batch 175 | Loss: 0.076044
Batch 200 | Loss: 0.053859
Batch 225 | Loss: 0.056848
Batch 250 | Loss: 0.058837
Batch 275 | Loss: 0.069441
Batch 300 | Loss: 0.063257
Batch 325 | Loss: 0.057846
Batch 350 | Loss: 0.079176
Batch 375 | Loss: 0.066635
Batch 400 | Loss: 0.045952
Batch 425 | Loss: 0.052584
Batch 450 | Loss: 0.070423
Batch 475 | Loss: 0.091692
Batch 500 | Loss: 0.056598
Batch 525 | Loss: 0.048793
