Training begins…
Epoch 02 | step 2300 | lr 2.99e-04 | train loss 1.1186
Epoch 02 | step 2350 | lr 2.99e-04 | train loss 1.1232
Epoch 02 | step 2400 | lr 2.99e-04 | train loss 1.1211
Epoch 02 | step 2450 | lr 2.99e-04 | train loss 1.1159
Epoch 02 | step 2500 | lr 2.99e-04 | train loss 1.1150
Epoch 02 | step 2550 | lr 2.99e-04 | train loss 1.1167
Epoch 02 | step 2600 | lr 2.99e-04 | train loss 1.1216
Epoch 02 | step 2650 | lr 2.99e-04 | train loss 1.1127
Epoch 02 | step 2700 | lr 2.99e-04 | train loss 1.1192
Epoch 02 | step 2750 | lr 2.99e-04 | train loss 1.1226
Epoch 02 | step 2800 | lr 2.99e-04 | train loss 1.1209
Epoch 02 | step 2850 | lr 2.99e-04 | train loss 1.1206
Epoch 02 | step 2900 | lr 2.99e-04 | train loss 1.1205
Epoch 02 | step 2950 | lr 2.99e-04 | train loss 1.1185
Epoch 02 | step 3000 | lr 2.99e-04 | train loss 1.1191
Epoch 02 | step 3050 | lr 2.99e-04 | train loss 1.1150
Epoch 02 | step 3100 | lr 2.99e-04 | train loss 1.1230
Epoch 02 | step 3150 | lr 2.99e-04 | train loss 1.1184
Epoch 02 | step 3200 | lr 2.99e-04 | train loss 1.1165
Epoch 02 | step 3250 | lr 2.99e-04 | train loss 1.1218
Epoch 02 | step 3300 | lr 2.99e-04 | train loss 1.1211
Epoch 02 | step 3350 | lr 2.99e-04 | train loss 1.1151
Epoch 02 | step 3400 | lr 2.99e-04 | train loss 1.1165
Epoch 02 | step 3450 | lr 2.99e-04 | train loss 1.1215
Epoch 02 | step 3500 | lr 2.99e-04 | train loss 1.1177
Epoch 02 | step 3550 | lr 2.99e-04 | train loss 1.1192
Epoch 02 | step 3600 | lr 2.99e-04 | train loss 1.1196
Epoch 02 | step 3650 | lr 2.99e-04 | train loss 1.1186
Epoch 02 | step 3700 | lr 2.99e-04 | train loss 1.1206
Epoch 02 | step 3750 | lr 2.99e-04 | train loss 1.1186
Epoch 02 | step 3800 | lr 2.99e-04 | train loss 1.1165
Epoch 02 | step 3850 | lr 2.99e-04 | train loss 1.1205
Epoch 02 | step 3900 | lr 2.99e-04 | train loss 1.1191
